date,year,incidence_raw,incidence_smooth
2006-01-02,2006,0.0554958933593873,0.0554958933593873
2006-01-09,2006,0.09249315559897883,0.07399452447918306
2006-01-16,2006,0.07769425070314222,0.07522776655383612
2006-01-23,2006,0.048096440911468995,0.07276128240453002
2006-01-30,2006,0.06659507203126476,0.06412858788195865
2006-02-06,2006,0.06659507203126476,0.06042886165799951
2006-02-13,2006,0.0628953458073056,0.0653618299566117
2006-02-20,2006,0.03699726223959153,0.055495893359387295
2006-02-27,2006,0.051796167135428145,0.05056292506077509
2006-03-06,2006,0.08139397692710137,0.056729135434040345
2006-03-13,2006,0.07769425070314222,0.0702947982552239
2006-03-20,2006,0.0628953458073056,0.07399452447918307
2006-03-27,2006,0.05919561958334646,0.06659507203126476
2006-04-03,2006,0.05919561958334646,0.06042886165799951
2006-04-10,2006,0.08879342937501968,0.06906155618057086
2006-04-17,2006,0.08879342937501968,0.07892749277779527
2006-04-24,2006,0.08509370315106053,0.08756018730036663
2006-05-01,2006,0.1109917867187746,0.09495963974828493
2006-05-08,2006,0.15908822763024358,0.11839123916669292
2006-05-15,2006,0.21088439476567172,0.16032146970489666
2006-05-22,2006,0.22568329966150835,0.19855197401914124
2006-05-29,2006,0.2811791930208956,0.2392489624826919
2006-06-05,2006,0.3551737175000787,0.28734540339416087
2006-06-12,2006,0.25528110945318155,0.29721133999138527
2006-06-19,2006,0.3070772765886097,0.30584403451395664
2006-06-26,2006,0.2700800143490182,0.2774794667969365
2006-07-03,2006,0.25528110945318155,0.27747946679693647
2006-07-10,2006,0.28857864546881395,0.27131325642367127
2006-07-17,2006,0.24048220455734495,0.2614473198264468
2006-07-24,2006,0.25528110945318155,0.2614473198264468
2006-07-31,2006,0.3218761814844463,0.2725464984983243
2006-08-07,2006,0.3070772765886097,0.29474485584207916
2006-08-14,2006,0.24788165700526327,0.2922783716927731
2006-08-21,2006,0.3218761814844463,0.2922783716927731
2006-08-28,2006,0.2034849423177534,0.2577475936024876
2006-09-04,2006,0.27747946679693647,0.267613530199712
2006-09-11,2006,0.24788165700526327,0.242948688706651
2006-09-18,2006,0.3551737175000787,0.2935116137674261
2006-09-25,2006,0.2848789192448548,0.29597809791673224
2006-10-02,2006,0.2219835734375492,0.2873454033941609
2006-10-09,2006,0.24788165700526327,0.2515813832292224
2006-10-16,2006,0.25898083567714075,0.24294868870665107
2006-10-23,2006,0.2515813832292224,0.25281462530387544
2006-10-30,2006,0.29967782414069144,0.2700800143490182
2006-11-06,2006,0.25898083567714075,0.27008001434901824
2006-11-13,2006,0.2441819307813041,0.26761353019971207
2006-11-20,2006,0.27747946679693647,0.2602140777517938
2006-11-27,2006,0.25898083567714075,0.2602140777517938
2006-12-04,2006,0.22938302588546752,0.25528110945318155
2006-12-11,2006,0.23678247833338584,0.24171544663199798
2006-12-18,2006,0.3070772765886097,0.2577475936024876
2006-12-25,2006,0.1738871325260802,0.23924896248269187
2007-01-01,2007,0.2808972675882456,0.2539538922343118
2007-01-08,2007,0.2845452840504306,0.24644322805491878
2007-01-15,2007,0.2808972675882456,0.28211327307564055
2007-01-22,2007,0.2553611523529506,0.27360123466387554
2007-01-29,2007,0.26630520173950556,0.2675212072269005
2007-02-05,2007,0.2590091688151356,0.2602251743025305
2007-02-12,2007,0.25171313589076555,0.25900916881513547
2007-02-19,2007,0.2808972675882456,0.26387319076471555
2007-02-26,2007,0.3283214815966507,0.28697729502522057
2007-03-05,2007,0.35020958036976074,0.31980944318488563
2007-03-12,2007,0.26995321820169055,0.3161614267227006
2007-03-19,2007,0.5690905681008612,0.3964177888907708
2007-03-26,2007,0.3210254486722807,0.38668974499161074
2007-04-02,2007,0.2808972675882456,0.3903377614537958
2007-04-09,2007,0.31008139928572565,0.3040013718487506
2007-04-16,2007,0.3283214815966507,0.30643338282354055
2007-04-23,2007,0.24806511942858053,0.2954893334369855
2007-04-30,2007,0.26995321820169055,0.2821132730756405
2007-05-07,2007,0.26995321820169055,0.26265718527732046
2007-05-14,2007,0.2334730535798405,0.25779316332774044
2007-05-21,2007,0.3429135474453907,0.28211327307564055
2007-05-28,2007,0.3137294157479107,0.29670533892438056
2007-06-04,2007,0.39398577791598083,0.3502095803697607
2007-06-11,2007,0.5362584199411962,0.4146578712016958
2007-06-18,2007,0.43046594253783094,0.4535700467983359
2007-06-25,2007,0.44505800838657095,0.470594123621866
2007-07-02,2007,0.5289623870168261,0.4681621126470759
2007-07-09,2007,0.5435544528655661,0.5058582827563209
2007-07-16,2007,0.466946107159681,0.513154315680691
2007-07-23,2007,0.34656156390757575,0.45235404131094087
2007-07-30,2007,0.3684496626806858,0.3939857779159808
2007-08-06,2007,0.42681792607564595,0.38060971755463574
2007-08-13,2007,0.35385759683194573,0.3830417285294258
2007-08-20,2007,0.42316990961346096,0.4012818108403508
2007-08-27,2007,0.42316990961346096,0.40006580535295583
2007-09-03,2007,0.474242140084051,0.44019398643699087
2007-09-10,2007,0.4049298273025359,0.43411395900001587
2007-09-17,2007,0.43046594253783094,0.4365459699748058
2007-09-24,2007,0.7952675887563317,0.5435544528655661
2007-10-01,2007,0.4049298273025359,0.5435544528655661
2007-10-08,2007,0.39033776145379584,0.530178392504221
2007-10-15,2007,0.5107223047059012,0.4353299644874109
2007-10-22,2007,0.36115362975631576,0.4207378986386709
2007-10-29,2007,0.37209767914287084,0.4146578712016959
2007-11-05,2007,0.42681792607564595,0.38668974499161074
2007-11-12,2007,0.5143703211680861,0.43776197546220086
2007-11-19,2007,0.4085778437647209,0.4499220303361509
2007-11-26,2007,0.43046594253783094,0.4511380358235459
2007-12-03,2007,0.3793937120672408,0.40614583278993077
2007-12-10,2007,0.4523540413109409,0.4207378986386708
2007-12-17,2007,0.3684496626806858,0.4000658053529558
2007-12-24,2007,0.3283214815966507,0.3830417285294257
2007-12-31,2007,0.463298090697496,0.38668974499161074
2008-01-07,2008,0.6224213138932568,0.4713469620624678
2008-01-14,2008,0.47131324924865114,0.5190108846131346
2008-01-21,2008,0.4209438943671159,0.5048928191696745
2008-01-28,2008,0.5180847930672196,0.47011397889432877
2008-02-04,2008,0.41374827224118227,0.4509256532251725
2008-02-11,2008,0.40655265011524866,0.4461285718078834
2008-02-18,2008,0.40655265011524866,0.40895119082389314
2008-02-25,2008,0.43533513861898315,0.41614681294982675
2008-03-03,2008,0.4389329496819499,0.4269402461387271
2008-03-10,2008,0.5036935488153523,0.45932054570542835
2008-03-17,2008,0.45692200499678387,0.4665161678313619
2008-03-24,2008,0.546867281570954,0.50249427846103
2008-03-31,2008,0.5360738483820535,0.5132877116499305
2008-04-07,2008,0.4497263828708503,0.5108891709412858
2008-04-14,2008,0.43173732755601635,0.4725125196029733
2008-04-21,2008,0.47491106031161795,0.4521249235794948
2008-04-28,2008,0.4425307607449167,0.44972638287085026
2008-05-05,2008,0.4533241939338171,0.45692200499678387
2008-05-12,2008,0.4893023045634851,0.46171908641407294
2008-05-19,2008,0.4497263828708503,0.4641176271227174
2008-05-26,2008,0.5036935488153523,0.48090741208322924
2008-06-02,2008,0.4929001156264519,0.48210668243755145
2008-06-09,2008,0.48210668243755156,0.49290011562645186
2008-06-16,2008,0.4029548390522819,0.45932054570542835
2008-06-23,2008,0.4893023045634851,0.45812127535110614
2008-06-30,2008,0.600834447515456,0.49769719704374094
2008-07-07,2008,0.546867281570954,0.5456680112166317
2008-07-14,2008,0.47131324924865114,0.5396716594450203
2008-07-21,2008,0.4245417054300827,0.48090741208322924
2008-07-28,2008,0.5504650926339208,0.48210668243755145
2008-08-04,2008,0.41015046117821546,0.46171908641407294
2008-08-11,2008,0.4929001156264519,0.484505223146196
2008-08-18,2008,0.45692200499678387,0.453324193933817
2008-08-25,2008,0.45692200499678387,0.4689147085400065
2008-09-01,2008,0.5900410143265556,0.5012950081067077
2008-09-08,2008,0.4173460833041491,0.48810303420916273
2008-09-15,2008,0.3993570279893151,0.4689147085400065
2008-09-22,2008,0.4425307607449167,0.41974462401279355
2008-09-29,2008,0.4425307607449167,0.4281395164930493
2008-10-06,2008,0.41374827224118227,0.4329365979103385
2008-10-13,2008,0.47850887137458475,0.44492930145356113
2008-10-20,2008,0.43173732755601635,0.4413314903905943
2008-10-27,2008,0.5684541479487548,0.49290011562645186
2008-11-03,2008,0.4929001156264519,0.4976971970437409
2008-11-10,2008,0.636812558145124,0.5660556072401101
