region,model,mae,rmse,r2
UCAYALI,naive,1.3,1.92,0.68
UCAYALI,seasonal_naive,2.12,2.97,0.24
UCAYALI,holt_winters,1.44,2.07,0.63
UCAYALI,arima,1.27,1.86,0.7
