feature,importance
lag_1,0.49825758
lag_2,0.21127598
roll_mean_4,0.13167474
roll_mean_12,0.019203374
cos_week,0.015805142
sin_week,0.01503277
lag_8,0.013124099
weekofyear,0.01182211
lag_26,0.011306703
roll_std_8,0.011179116
lag_52,0.01095138
roll_mean_8,0.010558918
roll_max_8,0.01000372
lag_12,0.009617058
lag_4,0.008889083
roll_max_12,0.006683626
roll_std_4,0.004614634
