feature,importance
lag_1,0.4802886
lag_2,0.23163855
roll_mean_4,0.08994704
weekofyear,0.020038545
lag_52,0.018982524
lag_8,0.018195909
roll_std_8,0.015900115
roll_mean_12,0.015539508
roll_max_8,0.015149558
roll_max_12,0.014901195
lag_12,0.014229835
roll_mean_8,0.012237803
sin_week,0.011875626
roll_std_4,0.0118579045
lag_4,0.010394012
lag_26,0.009709722
cos_week,0.009113567
