region,model,mae,rmse,r2
CUSCO,naive,0.276,0.377,0.655
CUSCO,seasonal_naive,0.529,0.787,-0.503
CUSCO,holt_winters,0.307,0.428,0.556
CUSCO,arima,0.248,0.338,0.723
