date,year,incidence_raw,incidence_smooth
2000-01-03,2000,4.633998995562521,4.633998995562521
2000-01-10,2000,5.373983128361772,5.003991061962147
2000-01-17,2000,4.832136823470517,4.94670631579827
2000-01-24,2000,4.197287048336734,4.801135666723007
2000-01-31,2000,4.181112531772817,4.403512134526689
2000-02-07,2000,4.0719345449663695,4.150111375025307
2000-02-14,2000,4.22559245232359,4.159546509687592
2000-02-21,2000,4.379250359680812,4.225592452323591
2000-02-28,2000,3.857622200494455,4.154155004166285
2000-03-06,2000,4.350944955693955,4.195939171956407
2000-03-13,2000,4.80787504862464,4.338814068271017
2000-03-20,2000,5.070710942788309,4.7431769823689685
2000-03-27,2000,4.423730280231586,4.767438757214845
2000-04-03,2000,4.039585511838533,4.511342244952809
2000-04-10,2000,4.5409955253199925,4.334770439130037
2000-04-17,2000,4.832136823470517,4.4709059535430145
2000-04-24,2000,5.503379260873117,4.958837203221209
2000-05-01,2000,6.020963790918494,5.452159958420709
2000-05-08,2000,7.13296180468786,6.21910161882649
2000-05-15,2000,8.305614255571918,7.153179950392757
2000-05-22,2000,8.730195315374766,8.056257125211514
2000-05-29,2000,8.79893701077142,8.611582193906035
2000-06-05,2000,9.668317276082014,9.065816534076067
2000-06-12,2000,9.526790256147732,9.331348181000388
2000-06-19,2000,9.737058971478666,9.644055501236137
2000-06-26,2000,8.249003447598206,9.170950891741535
2000-07-03,2000,9.664273646941034,9.216778688672635
2000-07-10,2000,8.54418837488971,8.819155156476317
2000-07-17,2000,7.7354625466938085,8.64797485617485
2000-07-24,2000,7.21787801664843,7.832509646077316
2000-07-31,2000,7.743549804975767,7.565630122772668
2000-08-07,2000,7.38366681142859,7.448364877684263
2000-08-14,2000,6.425326705016445,7.184181107140266
2000-08-21,2000,6.126098148583962,6.645030555009666
2000-08-28,2000,6.1665344399937565,6.239319764531388
2000-09-04,2000,6.793296956845581,6.361976515141099
2000-09-11,2000,6.360628638760773,6.440153345200037
2000-09-18,2000,6.118010890302002,6.423978828636119
2000-09-25,2000,5.212237962722591,5.896959163928455
2000-10-02,2000,5.685342572217195,5.671863808413929
2000-10-09,2000,5.434637565476465,5.444072700138751
2000-10-16,2000,5.681298943076215,5.600426360256624
2000-10-23,2000,5.090929088493207,5.402288532348629
2000-10-30,2000,4.755307869791907,5.175845300453776
