feature,importance
lag_1,0.946991174630621
lag_2,0.012454530506061642
lag_52,0.011238165377947432
roll_std_4,0.0067526122071958385
roll_mean_4,0.005460044573069559
cos_week,0.004217032539149156
sin_week,0.004146793730883661
weekofyear,0.003861323345692603
lag_12,0.0027713424003887465
lag_4,0.0021069806889904533
