department,year,ubigeo,iddpto,population,cases_men5,cases_60mas,hosp_men5,hosp_60mas,death_men5,death_60mas,cases_rate_men5,cases_rate_60mas,hosp_rate_men5,hosp_rate_60mas,death_rate_men5,death_rate_60mas,inc_rate_men5,inc_rate_60mas
LA LIBERTAD,2012,130000,13,1753011.0,1054,888,456,348,14,197,60.13,50.66,26.01,19.85,0.8,11.24,60.13,50.66
LA LIBERTAD,2013,130000,13,1780203.0,1107,984,378,380,9,137,62.18,55.27,21.23,21.35,0.51,7.7,62.18,55.27
LA LIBERTAD,2014,130000,13,1807395.0,790,798,273,349,8,82,43.71,44.15,15.1,19.31,0.44,4.54,43.71,44.15
LA LIBERTAD,2015,130000,13,1834588.0,516,759,200,283,18,0,28.13,41.37,10.9,15.43,0.98,0.0,28.13,41.37
LA LIBERTAD,2016,130000,13,1861780.0,585,944,170,341,17,132,31.42,50.7,9.13,18.32,0.91,7.09,31.42,50.7
LA LIBERTAD,2017,130000,13,1888972.0,638,984,162,385,15,256,33.77,52.09,8.58,20.38,0.79,13.55,33.77,52.09
LA LIBERTAD,2018,130000,13,1938501.0,868,1070,387,381,10,64,44.78,55.2,19.96,19.65,0.52,3.3,44.78,55.2
LA LIBERTAD,2019,130000,13,1979901.0,729,970,411,539,15,85,36.82,48.99,20.76,27.22,0.76,4.29,36.82,48.99
LA LIBERTAD,2020,130000,13,2016771.0,243,1207,142,1038,3,656,12.05,59.85,7.04,51.47,0.15,32.53,12.05,59.85
LA LIBERTAD,2021,130000,13,2048492.0,134,1123,79,908,3,491,6.54,54.82,3.86,44.33,0.15,23.97,6.54,54.82
LA LIBERTAD,2022,130000,13,2077345.0,454,631,286,382,16,18,21.85,30.38,13.77,18.39,0.77,0.87,21.85,30.38
LA LIBERTAD,2023,130000,13,2104254.0,547,771,314,469,19,145,25.99,36.64,14.92,22.29,0.9,6.89,25.99,36.64
LAMBAYEQUE,2000,140000,14,1016832.0,2777,0,90,0,4,0,273.1,0.0,8.85,0.0,0.39,0.0,273.1,0.0
LAMBAYEQUE,2001,140000,14,1030551.0,1562,0,53,0,3,0,151.57,0.0,5.14,0.0,0.29,0.0,151.57,0.0
LAMBAYEQUE,2002,140000,14,1044270.0,1666,0,144,0,2,0,159.54,0.0,13.79,0.0,0.19,0.0,159.54,0.0
LAMBAYEQUE,2003,140000,14,1057990.0,1302,0,99,0,0,0,123.06,0.0,9.36,0.0,0.0,0.0,123.06,0.0
LAMBAYEQUE,2004,140000,14,1071710.0,808,0,27,0,2,0,75.39,0.0,2.52,0.0,0.19,0.0,75.39,0.0
LAMBAYEQUE,2005,140000,14,1085429.0,1016,0,9,0,2,0,93.6,0.0,0.83,0.0,0.18,0.0,93.6,0.0
LAMBAYEQUE,2006,140000,14,1099148.0,1172,4,7,1,0,0,106.63,0.36,0.64,0.09,0.0,0.0,106.63,0.36
LAMBAYEQUE,2007,140000,14,1112868.0,837,34,16,4,3,0,75.21,3.06,1.44,0.36,0.27,0.0,75.21,3.06
LAMBAYEQUE,2008,140000,14,1126063.0,823,10,19,0,1,0,73.09,0.89,1.69,0.0,0.09,0.0,73.09,0.89
LAMBAYEQUE,2009,140000,14,1139259.0,893,13,17,4,11,0,78.38,1.14,1.49,0.35,0.97,0.0,78.38,1.14
LAMBAYEQUE,2010,140000,14,1152454.0,702,39,28,4,3,0,60.91,3.38,2.43,0.35,0.26,0.0,60.91,3.38
LAMBAYEQUE,2011,140000,14,1165649.0,608,27,21,5,5,0,52.16,2.32,1.8,0.43,0.43,0.0,52.16,2.32
LAMBAYEQUE,2012,140000,14,1178844.0,687,34,20,9,3,1,58.28,2.88,1.7,0.76,0.25,0.08,58.28,2.88
LAMBAYEQUE,2013,140000,14,1192040.0,901,185,190,88,3,2,75.58,15.52,15.94,7.38,0.25,0.17,75.58,15.52
LAMBAYEQUE,2014,140000,14,1205235.0,587,130,133,73,1,0,48.7,10.79,11.04,6.06,0.08,0.0,48.7,10.79
LAMBAYEQUE,2015,140000,14,1218430.0,593,54,114,48,1,0,48.67,4.43,9.36,3.94,0.08,0.0,48.67,4.43
LAMBAYEQUE,2016,140000,14,1231626.0,375,78,76,47,3,0,30.45,6.33,6.17,3.82,0.24,0.0,30.45,6.33
LAMBAYEQUE,2017,140000,14,1244821.0,326,132,41,29,6,4,26.19,10.6,3.29,2.33,0.48,0.32,26.19,10.6
LAMBAYEQUE,2018,140000,14,1270295.0,406,175,90,46,0,4,31.96,13.78,7.08,3.62,0.0,0.31,31.96,13.78
LAMBAYEQUE,2019,140000,14,1292105.0,687,651,10,27,0,2,53.17,50.38,0.77,2.09,0.0,0.15,53.17,50.38
LAMBAYEQUE,2020,140000,14,1310785.0,242,540,23,296,0,5,18.46,41.2,1.75,22.58,0.0,0.38,18.46,41.2
LAMBAYEQUE,2021,140000,14,1325912.0,293,614,71,501,0,65,22.1,46.31,5.35,37.79,0.0,4.9,22.1,46.31
LAMBAYEQUE,2022,140000,14,1338994.0,360,241,91,68,2,2,26.89,18.0,6.8,5.08,0.15,0.15,26.89,18.0
LAMBAYEQUE,2023,140000,14,1350663.0,562,582,69,51,0,3,41.61,43.09,5.11,3.78,0.0,0.22,41.61,43.09
LIMA ,2000,150000,15,7415760.0,6079,0,2023,0,63,0,81.97,0.0,27.28,0.0,0.85,0.0,81.97,0.0
LIMA ,2001,150000,15,7562824.0,7172,0,2378,0,96,0,94.83,0.0,31.44,0.0,1.27,0.0,94.83,0.0
LIMA ,2002,150000,15,7709888.0,5636,0,2951,0,73,0,73.1,0.0,38.28,0.0,0.95,0.0,73.1,0.0
LIMA ,2003,150000,15,7856953.0,7779,0,3369,0,53,0,99.01,0.0,42.88,0.0,0.67,0.0,99.01,0.0
LIMA ,2004,150000,15,8004018.0,8886,0,3817,0,60,0,111.02,0.0,47.69,0.0,0.75,0.0,111.02,0.0
LIMA ,2005,150000,15,8151082.0,8613,0,3301,0,85,0,105.67,0.0,40.5,0.0,1.04,0.0,105.67,0.0
LIMA ,2006,150000,15,8298146.0,11147,415,3488,134,68,19,134.33,5.0,42.03,1.61,0.82,0.23,134.33,5.0
LIMA ,2007,150000,15,8445211.0,11239,749,4211,264,56,54,133.08,8.87,49.86,3.13,0.66,0.64,133.08,8.87
LIMA ,2008,150000,15,8614191.0,10161,850,3920,260,28,40,117.96,9.87,45.51,3.02,0.33,0.46,117.96,9.87
LIMA ,2009,150000,15,8783171.0,8920,880,3692,317,26,66,101.56,10.02,42.03,3.61,0.3,0.75,101.56,10.02
LIMA ,2010,150000,15,8952150.0,7858,1130,3290,538,15,69,87.78,12.62,36.75,6.01,0.17,0.77,87.78,12.62
LIMA ,2011,150000,15,9121130.0,7462,1500,3268,905,15,141,81.81,16.45,35.83,9.92,0.16,1.55,81.81,16.45
LIMA ,2012,150000,15,9290110.0,8150,1876,3568,1030,26,203,87.73,20.19,38.41,11.09,0.28,2.19,87.73,20.19
LIMA ,2013,150000,15,9459090.0,7783,1870,3281,786,29,247,82.28,19.77,34.69,8.31,0.31,2.61,82.28,19.77
LIMA ,2014,150000,15,9628070.0,7589,2018,3291,846,18,276,78.82,20.96,34.18,8.79,0.19,2.87,78.82,20.96
LIMA ,2015,150000,15,9797049.0,8099,2906,2956,1026,15,20,82.67,29.66,30.17,10.47,0.15,0.2,82.67,29.66
LIMA ,2016,150000,15,9966029.0,10415,4346,3472,1640,38,572,104.51,43.61,34.84,16.46,0.38,5.74,104.51,43.61
LIMA ,2017,150000,15,10135009.0,10813,5236,3346,1802,21,598,106.69,51.66,33.01,17.78,0.21,5.9,106.69,51.66
LIMA ,2018,150000,15,10180641.0,9759,5936,3247,1913,30,427,95.86,58.31,31.89,18.79,0.29,4.19,95.86,58.31
LIMA ,2019,150000,15,10416139.0,9293,6255,3538,1822,16,452,89.22,60.05,33.97,17.49,0.15,4.34,89.22,60.05
LIMA ,2020,150000,15,10628470.0,2392,6327,853,2230,5,796,22.51,59.53,8.03,20.98,0.05,7.49,22.51,59.53
LIMA ,2021,150000,15,10814450.0,3240,10372,831,3080,10,1598,29.96,95.91,7.68,28.48,0.09,14.78,29.96,95.91
LIMA ,2022,150000,15,10986006.0,6649,7968,1649,2052,15,692,60.52,72.53,15.01,18.68,0.14,6.3,60.52,72.53
LIMA ,2023,150000,15,11147924.0,10732,12042,3284,2077,10,724,96.27,108.02,29.46,18.63,0.09,6.49,96.27,108.02
LORETO,2000,160000,16,789507.0,4757,0,1105,0,40,0,602.53,0.0,139.96,0.0,5.07,0.0,602.53,0.0
LORETO,2001,160000,16,804111.0,3608,0,894,0,45,0,448.69,0.0,111.18,0.0,5.6,0.0,448.69,0.0
LORETO,2002,160000,16,818714.0,4183,0,876,0,37,0,510.92,0.0,107.0,0.0,4.52,0.0,510.92,0.0
LORETO,2003,160000,16,833318.0,4517,0,858,0,41,0,542.05,0.0,102.96,0.0,4.92,0.0,542.05,0.0
LORETO,2004,160000,16,847921.0,3556,0,599,0,21,0,419.38,0.0,70.64,0.0,2.48,0.0,419.38,0.0
LORETO,2005,160000,16,862525.0,4354,0,988,0,35,0,504.8,0.0,114.55,0.0,4.06,0.0,504.8,0.0
LORETO,2006,160000,16,877128.0,4400,248,984,39,24,1,501.64,28.27,112.18,4.45,2.74,0.11,501.64,28.27
LORETO,2007,160000,16,891732.0,4352,168,1220,58,8,1,488.04,18.84,136.81,6.5,0.9,0.11,488.04,18.84
LORETO,2008,160000,16,900748.0,3147,349,1069,124,24,4,349.38,38.75,118.68,13.77,2.66,0.44,349.38,38.75
LORETO,2009,160000,16,909765.0,4276,383,1460,232,31,12,470.01,42.1,160.48,25.5,3.41,1.32,470.01,42.1
LORETO,2010,160000,16,918782.0,3594,188,1330,104,47,1,391.17,20.46,144.76,11.32,5.12,0.11,391.17,20.46
LORETO,2011,160000,16,927798.0,3717,235,1193,101,60,7,400.63,25.33,128.58,10.89,6.47,0.75,400.63,25.33
LORETO,2012,160000,16,936814.0,3278,281,985,181,68,14,349.91,30.0,105.14,19.32,7.26,1.49,349.91,30.0
LORETO,2013,160000,16,945831.0,2667,272,909,221,63,12,281.97,28.76,96.11,23.37,6.66,1.27,281.97,28.76
LORETO,2014,160000,16,954848.0,2203,332,736,246,27,9,230.72,34.77,77.08,25.76,2.83,0.94,230.72,34.77
LORETO,2015,160000,16,963864.0,2238,397,576,248,32,4,232.19,41.19,59.76,25.73,3.32,0.41,232.19,41.19
LORETO,2016,160000,16,972880.0,1789,479,418,223,29,5,183.89,49.24,42.97,22.92,2.98,0.51,183.89,49.24
LORETO,2017,160000,16,981897.0,1507,439,381,142,21,20,153.48,44.71,38.8,14.46,2.14,2.04,153.48,44.71
LORETO,2018,160000,16,1000350.0,2270,481,609,169,37,9,226.92,48.08,60.88,16.89,3.7,0.9,226.92,48.08
LORETO,2019,160000,16,1015212.0,2019,506,452,215,19,15,198.87,49.84,44.52,21.18,1.87,1.48,198.87,49.84
LORETO,2020,160000,16,1027559.0,920,372,186,100,14,13,89.53,36.2,18.1,9.73,1.36,1.27,89.53,36.2
LORETO,2021,160000,16,1037055.0,1013,641,181,70,14,25,97.68,61.81,17.45,6.75,1.35,2.41,97.68,61.81
LORETO,2022,160000,16,1044884.0,2079,1011,440,251,37,92,198.97,96.76,42.11,24.02,3.54,8.8,198.97,96.76
LORETO,2023,160000,16,1051560.0,3143,1948,701,204,37,38,298.89,185.25,66.66,19.4,3.52,3.61,298.89,185.25
MADRE DE DIOS,2000,170000,17,88282.0,449,0,92,0,5,0,508.6,0.0,104.21,0.0,5.66,0.0,508.6,0.0
MADRE DE DIOS,2001,170000,17,91321.0,384,0,106,0,6,0,420.49,0.0,116.07,0.0,6.57,0.0,420.49,0.0
MADRE DE DIOS,2002,170000,17,94360.0,244,0,63,0,3,0,258.58,0.0,66.77,0.0,3.18,0.0,258.58,0.0
MADRE DE DIOS,2003,170000,17,97399.0,191,0,51,0,1,0,196.1,0.0,52.36,0.0,1.03,0.0,196.1,0.0
MADRE DE DIOS,2004,170000,17,100438.0,214,0,36,0,11,0,213.07,0.0,35.84,0.0,10.95,0.0,213.07,0.0
MADRE DE DIOS,2005,170000,17,103477.0,241,0,23,0,2,0,232.9,0.0,22.23,0.0,1.93,0.0,232.9,0.0
MADRE DE DIOS,2006,170000,17,106516.0,237,29,28,15,4,1,222.5,27.23,26.29,14.08,3.76,0.94,222.5,27.23
MADRE DE DIOS,2007,170000,17,109555.0,330,24,48,19,0,0,301.22,21.91,43.81,17.34,0.0,0.0,301.22,21.91
MADRE DE DIOS,2008,170000,17,114720.0,220,35,58,5,2,1,191.77,30.51,50.56,4.36,1.74,0.87,191.77,30.51
MADRE DE DIOS,2009,170000,17,119885.0,250,22,29,14,0,0,208.53,18.35,24.19,11.68,0.0,0.0,208.53,18.35
MADRE DE DIOS,2010,170000,17,125050.0,250,11,65,10,0,0,199.92,8.8,51.98,8.0,0.0,0.0,199.92,8.8
MADRE DE DIOS,2011,170000,17,130215.0,249,10,42,6,1,2,191.22,7.68,32.25,4.61,0.77,1.54,191.22,7.68
MADRE DE DIOS,2012,170000,17,135380.0,264,21,87,9,4,1,195.01,15.51,64.26,6.65,2.95,0.74,195.01,15.51
MADRE DE DIOS,2013,170000,17,140544.0,161,37,46,15,0,0,114.55,26.33,32.73,10.67,0.0,0.0,114.55,26.33
MADRE DE DIOS,2014,170000,17,145709.0,123,41,26,24,2,1,84.41,28.14,17.84,16.47,1.37,0.69,84.41,28.14
MADRE DE DIOS,2015,170000,17,150874.0,136,45,45,27,1,0,90.14,29.83,29.83,17.9,0.66,0.0,90.14,29.83
MADRE DE DIOS,2016,170000,17,156039.0,240,34,103,22,1,0,153.81,21.79,66.01,14.1,0.64,0.0,153.81,21.79
MADRE DE DIOS,2017,170000,17,161204.0,271,43,128,26,2,3,168.11,26.67,79.4,16.13,1.24,1.86,168.11,26.67
MADRE DE DIOS,2018,170000,17,161324.0,285,89,141,43,1,3,176.66,55.17,87.4,26.65,0.62,1.86,176.66,55.17
MADRE DE DIOS,2019,170000,17,167674.0,265,137,134,76,1,3,158.04,81.71,79.92,45.33,0.6,1.79,158.04,81.71
MADRE DE DIOS,2020,170000,17,173811.0,57,22,34,15,1,1,32.79,12.66,19.56,8.63,0.58,0.58,32.79,12.66
MADRE DE DIOS,2021,170000,17,179688.0,173,111,58,92,1,18,96.28,61.77,32.28,51.2,0.56,10.02,96.28,61.77
MADRE DE DIOS,2022,170000,17,185478.0,345,101,182,94,1,16,186.01,54.45,98.12,50.68,0.54,8.63,186.01,54.45
MADRE DE DIOS,2023,170000,17,191259.0,232,176,80,82,1,6,121.3,92.02,41.83,42.87,0.52,3.14,121.3,92.02
MOQUEGUA,2000,180000,18,145140.0,298,0,86,0,3,0,205.32,0.0,59.25,0.0,2.07,0.0,205.32,0.0
MOQUEGUA,2001,180000,18,147482.0,205,0,96,0,7,0,139.0,0.0,65.09,0.0,4.75,0.0,139.0,0.0
MOQUEGUA,2002,180000,18,149824.0,174,0,124,0,6,0,116.14,0.0,82.76,0.0,4.0,0.0,116.14,0.0
MOQUEGUA,2003,180000,18,152166.0,194,0,78,0,9,0,127.49,0.0,51.26,0.0,5.91,0.0,127.49,0.0
MOQUEGUA,2004,180000,18,154507.0,206,0,69,0,10,0,133.33,0.0,44.66,0.0,6.47,0.0,133.33,0.0
MOQUEGUA,2005,180000,18,156849.0,216,0,95,0,7,0,137.71,0.0,60.57,0.0,4.46,0.0,137.71,0.0
MOQUEGUA,2006,180000,18,159191.0,214,24,135,4,5,2,134.43,15.08,84.8,2.51,3.14,1.26,134.43,15.08
MOQUEGUA,2007,180000,18,161533.0,176,70,77,38,2,4,108.96,43.33,47.67,23.52,1.24,2.48,108.96,43.33
MOQUEGUA,2008,180000,18,163581.0,150,72,93,32,0,6,91.7,44.01,56.85,19.56,0.0,3.67,91.7,44.01
MOQUEGUA,2009,180000,18,165630.0,212,70,146,49,1,10,128.0,42.26,88.15,29.58,0.6,6.04,128.0,42.26
MOQUEGUA,2010,180000,18,167678.0,179,76,112,52,0,11,106.75,45.32,66.79,31.01,0.0,6.56,106.75,45.32
MOQUEGUA,2011,180000,18,169727.0,162,81,114,65,2,8,95.45,47.72,67.17,38.3,1.18,4.71,95.45,47.72
MOQUEGUA,2012,180000,18,171775.0,181,131,115,92,3,8,105.37,76.26,66.95,53.56,1.75,4.66,105.37,76.26
MOQUEGUA,2013,180000,18,173823.0,220,93,133,76,0,4,126.57,53.5,76.51,43.72,0.0,2.3,126.57,53.5
MOQUEGUA,2014,180000,18,175872.0,104,107,70,66,0,6,59.13,60.84,39.8,37.53,0.0,3.41,59.13,60.84
MOQUEGUA,2015,180000,18,177920.0,85,137,58,102,0,0,47.77,77.0,32.6,57.33,0.0,0.0,47.77,77.0
MOQUEGUA,2016,180000,18,179969.0,89,148,53,93,1,4,49.45,82.24,29.45,51.68,0.56,2.22,49.45,82.24
MOQUEGUA,2017,180000,18,182017.0,106,222,60,134,3,20,58.24,121.97,32.96,73.62,1.65,10.99,58.24,121.97
MOQUEGUA,2018,180000,18,186371.0,122,240,74,130,1,27,65.46,128.78,39.71,69.75,0.54,14.49,65.46,128.78
MOQUEGUA,2019,180000,18,189781.0,146,257,92,181,0,33,76.93,135.42,48.48,95.37,0.0,17.39,76.93,135.42
MOQUEGUA,2020,180000,18,192740.0,17,339,12,198,0,71,8.82,175.88,6.23,102.73,0.0,36.84,8.82,175.88
MOQUEGUA,2021,180000,18,195185.0,5,440,3,363,1,85,2.56,225.43,1.54,185.98,0.51,43.55,2.56,225.43
MOQUEGUA,2022,180000,18,197337.0,50,405,28,132,0,30,25.34,205.23,14.19,66.89,0.0,15.2,25.34,205.23
MOQUEGUA,2023,180000,18,199286.0,134,222,90,123,0,8,67.24,111.4,45.16,61.72,0.0,4.01,67.24,111.4
PASCO,2000,190000,19,253372.0,1161,0,230,0,20,0,458.22,0.0,90.78,0.0,7.89,0.0,458.22,0.0
PASCO,2001,190000,19,257240.0,982,0,182,0,12,0,381.74,0.0,70.75,0.0,4.66,0.0,381.74,0.0
PASCO,2002,190000,19,261108.0,908,0,197,0,13,0,347.75,0.0,75.45,0.0,4.98,0.0,347.75,0.0
PASCO,2003,190000,19,264976.0,761,0,268,0,14,0,287.2,0.0,101.14,0.0,5.28,0.0,287.2,0.0
PASCO,2004,190000,19,268845.0,901,0,428,0,12,0,335.14,0.0,159.2,0.0,4.46,0.0,335.14,0.0
PASCO,2005,190000,19,272713.0,741,0,356,0,11,0,271.71,0.0,130.54,0.0,4.03,0.0,271.71,0.0
PASCO,2006,190000,19,276581.0,935,30,468,2,10,0,338.06,10.85,169.21,0.72,3.62,0.0,338.06,10.85
PASCO,2007,190000,19,280449.0,967,117,422,43,18,2,344.8,41.72,150.47,15.33,6.42,0.71,344.8,41.72
PASCO,2008,190000,19,279618.0,917,116,432,36,11,1,327.95,41.49,154.5,12.87,3.93,0.36,327.95,41.49
PASCO,2009,190000,19,278786.0,743,151,408,71,16,2,266.51,54.16,146.35,25.47,5.74,0.72,266.51,54.16
PASCO,2010,190000,19,277955.0,822,162,336,82,10,7,295.73,58.28,120.88,29.5,3.6,2.52,295.73,58.28
PASCO,2011,190000,19,277124.0,681,143,328,80,7,2,245.74,51.6,118.36,28.87,2.53,0.72,245.74,51.6
PASCO,2012,190000,19,276292.0,640,125,288,83,12,11,231.64,45.24,104.24,30.04,4.34,3.98,231.64,45.24
PASCO,2013,190000,19,275461.0,506,177,233,111,13,12,183.69,64.26,84.59,40.3,4.72,4.36,183.69,64.26
PASCO,2014,190000,19,274630.0,344,109,122,78,7,2,125.26,39.69,44.42,28.4,2.55,0.73,125.26,39.69
PASCO,2015,190000,19,273799.0,369,132,194,91,12,0,134.77,48.21,70.85,33.24,4.38,0.0,134.77,48.21
PASCO,2016,190000,19,272967.0,297,112,154,62,4,2,108.8,41.03,56.42,22.71,1.47,0.73,108.8,41.03
PASCO,2017,190000,19,272136.0,341,125,176,72,4,4,125.3,45.93,64.67,26.46,1.47,1.47,125.3,45.93
PASCO,2018,190000,19,271704.0,355,185,181,106,8,1,130.66,68.09,66.62,39.01,2.94,0.37,130.66,68.09
PASCO,2019,190000,19,272157.0,330,144,151,107,6,1,121.25,52.91,55.48,39.32,2.2,0.37,121.25,52.91
PASCO,2020,190000,19,271904.0,100,268,45,144,3,1,36.78,98.56,16.55,52.96,1.1,0.37,36.78,98.56
PASCO,2021,190000,19,270842.0,102,346,41,171,1,41,37.66,127.75,15.14,63.14,0.37,15.14,37.66,127.75
PASCO,2022,190000,19,269296.0,170,179,80,68,5,8,63.13,66.47,29.71,25.25,1.86,2.97,63.13,66.47
PASCO,2023,190000,19,267425.0,152,283,66,71,5,5,56.84,105.82,24.68,26.55,1.87,1.87,56.84,105.82
PIURA,2000,200000,20,1532290.0,5294,0,782,0,48,0,345.5,0.0,51.03,0.0,3.13,0.0,345.5,0.0
PIURA,2001,200000,20,1552865.0,3790,0,695,0,31,0,244.07,0.0,44.76,0.0,2.0,0.0,244.07,0.0
PIURA,2002,200000,20,1573440.0,5295,0,1032,0,57,0,336.52,0.0,65.59,0.0,3.62,0.0,336.52,0.0
PIURA,2003,200000,20,1594015.0,3890,0,884,0,26,0,244.04,0.0,55.46,0.0,1.63,0.0,244.04,0.0
PIURA,2004,200000,20,1614590.0,3619,0,939,0,54,0,224.14,0.0,58.16,0.0,3.34,0.0,224.14,0.0
PIURA,2005,200000,20,1635165.0,3005,0,802,0,35,0,183.77,0.0,49.05,0.0,2.14,0.0,183.77,0.0
PIURA,2006,200000,20,1655740.0,3101,28,916,18,18,2,187.29,1.69,55.32,1.09,1.09,0.12,187.29,1.69
PIURA,2007,200000,20,1676315.0,2698,92,860,27,22,0,160.95,5.49,51.3,1.61,1.31,0.0,160.95,5.49
PIURA,2008,200000,20,1701680.0,2538,168,712,27,15,0,149.15,9.87,41.84,1.59,0.88,0.0,149.15,9.87
PIURA,2009,200000,20,1727046.0,2234,157,685,30,12,0,129.35,9.09,39.66,1.74,0.69,0.0,129.35,9.09
PIURA,2010,200000,20,1752412.0,2155,343,626,95,14,0,122.97,19.57,35.72,5.42,0.8,0.0,122.97,19.57
PIURA,2011,200000,20,1777777.0,2188,478,645,106,11,1,123.08,26.89,36.28,5.96,0.62,0.06,123.08,26.89
PIURA,2012,200000,20,1803142.0,2149,668,709,186,6,4,119.18,37.05,39.32,10.32,0.33,0.22,119.18,37.05
PIURA,2013,200000,20,1828508.0,1950,732,580,178,9,13,106.64,40.03,31.72,9.73,0.49,0.71,106.64,40.03
PIURA,2014,200000,20,1853874.0,1695,487,524,139,13,20,91.43,26.27,28.27,7.5,0.7,1.08,91.43,26.27
PIURA,2015,200000,20,1879239.0,1706,651,475,138,6,0,90.78,34.64,25.28,7.34,0.32,0.0,90.78,34.64
PIURA,2016,200000,20,1904604.0,1514,1281,399,224,8,66,79.49,67.26,20.95,11.76,0.42,3.47,79.49,67.26
PIURA,2017,200000,20,1929970.0,1360,1691,471,328,5,65,70.47,87.62,24.4,17.0,0.26,3.37,70.47,87.62
PIURA,2018,200000,20,1971744.0,1272,1659,417,222,11,57,64.51,84.14,21.15,11.26,0.56,2.89,64.51,84.14
PIURA,2019,200000,20,2013517.0,1170,1944,374,318,11,64,58.11,96.55,18.57,15.79,0.55,3.18,58.11,96.55
PIURA,2020,200000,20,2047954.0,489,3528,119,2225,6,190,23.88,172.27,5.81,108.65,0.29,9.28,23.88,172.27
PIURA,2021,200000,20,2077039.0,714,4683,106,3226,2,1787,34.38,225.47,5.1,155.32,0.1,86.04,34.38,225.47
PIURA,2022,200000,20,2103099.0,2111,1823,242,719,1,174,100.38,86.68,11.51,34.19,0.05,8.27,100.38,86.68
PIURA,2023,200000,20,2127093.0,2375,2423,397,829,7,90,111.65,113.91,18.66,38.97,0.33,4.23,111.65,113.91
PUNO,2000,210000,21,1174145.0,4180,0,951,0,64,0,356.0,0.0,81.0,0.0,5.45,0.0,356.0,0.0
PUNO,2001,210000,21,1187616.0,3162,0,628,0,47,0,266.25,0.0,52.88,0.0,3.96,0.0,266.25,0.0
PUNO,2002,210000,21,1201087.0,2831,0,531,0,121,0,235.7,0.0,44.21,0.0,10.07,0.0,235.7,0.0
PUNO,2003,210000,21,1214558.0,2619,0,556,0,98,0,215.63,0.0,45.78,0.0,8.07,0.0,215.63,0.0
PUNO,2004,210000,21,1228028.0,1751,0,495,0,58,0,142.59,0.0,40.31,0.0,4.72,0.0,142.59,0.0
PUNO,2005,210000,21,1241499.0,1877,0,554,0,93,0,151.19,0.0,44.62,0.0,7.49,0.0,151.19,0.0
PUNO,2006,210000,21,1254970.0,2024,1,604,1,80,0,161.28,0.08,48.13,0.08,6.37,0.0,161.28,0.08
PUNO,2007,210000,21,1268441.0,1948,320,666,86,63,45,153.57,25.23,52.51,6.78,4.97,3.55,153.57,25.23
PUNO,2008,210000,21,1264290.0,1534,379,571,82,91,52,121.33,29.98,45.16,6.49,7.2,4.11,121.33,29.98
PUNO,2009,210000,21,1260140.0,1664,336,592,93,91,38,132.05,26.66,46.98,7.38,7.22,3.02,132.05,26.66
PUNO,2010,210000,21,1255990.0,1763,649,655,164,111,128,140.37,51.67,52.15,13.06,8.84,10.19,140.37,51.67
PUNO,2011,210000,21,1251839.0,1372,643,494,226,58,129,109.6,51.36,39.46,18.05,4.63,10.3,109.6,51.36
PUNO,2012,210000,21,1247688.0,1362,725,601,242,59,72,109.16,58.11,48.17,19.4,4.73,5.77,109.16,58.11
PUNO,2013,210000,21,1243538.0,1343,718,503,186,48,28,108.0,57.74,40.45,14.96,3.86,2.25,108.0,57.74
PUNO,2014,210000,21,1239388.0,729,640,184,175,35,31,58.82,51.64,14.85,14.12,2.82,2.5,58.82,51.64
PUNO,2015,210000,21,1235237.0,820,665,218,235,29,40,66.38,53.84,17.65,19.02,2.35,3.24,66.38,53.84
PUNO,2016,210000,21,1231086.0,952,803,194,278,21,47,77.33,65.23,15.76,22.58,1.71,3.82,77.33,65.23
PUNO,2017,210000,21,1226936.0,872,876,205,286,35,33,71.07,71.4,16.71,23.31,2.85,2.69,71.07,71.4
PUNO,2018,210000,21,1236836.0,1363,1038,313,354,29,45,110.2,83.92,25.31,28.62,2.34,3.64,110.2,83.92
PUNO,2019,210000,21,1239022.0,1023,912,277,351,9,36,82.57,73.61,22.36,28.33,0.73,2.91,82.57,73.61
PUNO,2020,210000,21,1237997.0,201,582,62,265,6,25,16.24,47.01,5.01,21.41,0.48,2.02,16.24,47.01
PUNO,2021,210000,21,1233277.0,223,473,67,205,5,37,18.08,38.35,5.43,16.62,0.41,3.0,18.08,38.35
PUNO,2022,210000,21,1226353.0,1097,561,271,282,16,23,89.45,45.75,22.1,23.0,1.3,1.88,89.45,45.75
PUNO,2023,210000,21,1217951.0,1739,883,484,433,18,32,142.78,72.5,39.74,35.55,1.48,2.63,142.78,72.5
SAN MARTIN,2000,220000,22,640598.0,2401,0,598,0,20,0,374.81,0.0,93.35,0.0,3.12,0.0,374.81,0.0
SAN MARTIN,2001,220000,22,653199.0,1456,0,332,0,10,0,222.9,0.0,50.83,0.0,1.53,0.0,222.9,0.0
SAN MARTIN,2002,220000,22,665800.0,1354,0,313,0,12,0,203.36,0.0,47.01,0.0,1.8,0.0,203.36,0.0
SAN MARTIN,2003,220000,22,678402.0,1289,0,300,0,11,0,190.01,0.0,44.22,0.0,1.62,0.0,190.01,0.0
SAN MARTIN,2004,220000,22,691004.0,1016,0,313,0,10,0,147.03,0.0,45.3,0.0,1.45,0.0,147.03,0.0
SAN MARTIN,2005,220000,22,703605.0,1040,0,306,0,3,0,147.81,0.0,43.49,0.0,0.43,0.0,147.81,0.0
SAN MARTIN,2006,220000,22,716206.0,1159,2,374,2,4,1,161.82,0.28,52.22,0.28,0.56,0.14,161.82,0.28
