iddpto,region,top3_appearances,percent_years_in_top3
09,HUANCAVELICA,13,72.2
04,AREQUIPA,9,50.0
13,LA LIBERTAD,6,33.3
18,MOQUEGUA,6,33.3
05,AYACUCHO,5,27.8
21,PUNO,5,27.8
11,ICA,3,16.7
23,TACNA,2,11.1
22,SAN MARTIN,1,5.6
20,PIURA,1,5.6
01,AMAZONAS,1,5.6
07,CALLAO,1,5.6
03,APURIMAC,1,5.6
12,JUNIN,0,0.0
02,ANCASH,0,0.0
14,LAMBAYEQUE,0,0.0
15,LIMA,0,0.0
16,LORETO,0,0.0
17,MADRE DE DIOS,0,0.0
10,HUANUCO,0,0.0
19,PASCO,0,0.0
08,CUSCO,0,0.0
06,CAJAMARCA,0,0.0
24,TUMBES,0,0.0
25,UCAYALI,0,0.0
